"nom_sci","xcoord","ycoord","annee","code_spe","groupe"
"Sus scrofa","177351.516","6812280.091","2018","10","3"
"Meles meles","172615.950443","6792854.49578","2018","7","3"
"Meles meles","175369.791871","6789029.12314","2018","7","3"
"Capreolus capreolus","173976.939392","6790938.70764","2018","9","4"
"Meles meles","172698.458444","6792483.49032","2018","7","3"
"Meles meles","174982.171172","6796113.98705","2018","7","3"
"Meles meles","172679.573694","6792580.34494","2018","7","3"
"Capreolus capreolus","175369.791871","6789029.12314","2018","9","4"
"Sus scrofa","160954.313111","6833679.64519","2018","10","3"
"Capreolus capreolus","216294.6149","6816187.5528","2018","9","4"
"Capreolus capreolus","216294.6149","6816187.5528","2018","9","4"
"Capreolus capreolus","177958.129005","6814031.47156","2018","9","4"
"Meles meles","216294.6149","6816187.5528","2018","7","3"
"Meles meles","184099.787325","6847491.3744","2018","7","3"
"Sus scrofa","201207.493323","6852991.13927","2018","10","3"
"Sus scrofa","201207.493323","6852991.13927","2018","10","3"
"Capreolus capreolus","199854.278537","6775265.82229","2018","9","4"
"Capreolus capreolus","203578.59788","6773904.56394","2018","9","4"
"Meles meles","189573.424565","6777781.61705","2018","7","3"
"Meles meles","176866.213167","6808971.16845","2018","7","3"
"Meles meles","186481.587775","6812234.0853","2018","7","3"
"Meles meles","167386.137","6825058.382","2018","7","3"
"Meles meles","161416.922","6833491.625","2018","7","3"
"Meles meles","156107.015603","6842778.17093","2018","7","3"
"Meles meles","154736.105","6842165.617","2018","7","3"
"Meles meles","154736.105","6842165.617","2018","7","3"
"Capreolus capreolus","207923.575671","6850978.86371","2018","9","4"
"Meles meles","188549.491","6847954.584","2018","7","3"
"Meles meles","211767.689711","6850644.34357","2018","7","3"
"Meles meles","162870.861162","6845411.61601","2018","7","3"
"Meles meles","167020.792","6845589.092","2018","7","3"
"Meles meles","169067.956868","6845999.89388","2018","7","3"
"Meles meles","210946.361052","6851139.2151","2018","7","3"
"Meles meles","214170.440232","6850087.997","2018","7","3"
"Sus scrofa","184644.47394","6782036.54021","2018","10","3"
"Meles meles","201959.464719","6774355.44589","2018","7","3"
"Capreolus capreolus","188007.290841","6778827.09094","2018","9","4"
"Meles meles","200522.711895","6775082.12141","2018","7","3"
"Capreolus capreolus","206968.578523","6814889.13477","2018","9","4"
"Sus scrofa","190952.368544","6849061.51984","2018","10","3"
"Meles meles","174185.838484","6846610.00059","2018","7","3"
"Capreolus capreolus","192669.752978","6850063.08328","2018","9","4"
"Capreolus capreolus","194404.637","6851355.382","2018","9","4"
"Capreolus capreolus","169751.003982","6846150.2912","2018","9","4"
"Meles meles","204572.296354","6773813.5863","2018","7","3"
"Capreolus capreolus","180512.785","6785605.905","2018","9","4"
"Capreolus capreolus","186692.369729","6780036.34071","2018","9","4"
"Capreolus capreolus","172824.079492","6819478.20154","2018","9","4"
"Capreolus capreolus","176663.57341","6799919.97218","2018","9","4"
"Capreolus capreolus","176116.219471","6798868.40991","2018","9","4"
"Meles meles","172615.950443","6792854.49578","2018","7","3"
"Capreolus capreolus","177235.033288","6800850.61191","2018","9","4"
"Capreolus capreolus","172504.431636","6793436.12276","2018","9","4"
"Capreolus capreolus","177899.737425","6802613.81914","2018","9","4"
"Capreolus capreolus","175969.579741","6798398.31745","2018","9","4"
"Capreolus capreolus","173863.191","6795020.304","2018","9","4"
"Capreolus capreolus","173274.697616","6816392.63421","2018","9","4"
"Capreolus capreolus","177663.248883","6805975.2509","2018","9","4"
"Capreolus capreolus","172642.298617","6792758.22862","2018","9","4"
"Capreolus capreolus","175608.018","6797350.402","2018","9","4"
"Capreolus capreolus","177203.161118","6811392.29732","2018","9","4"
"Meles meles","157543.534643","6834381.97895","2018","7","3"
"Meles meles","158177.658237","6834368.48989","2018","7","3"
"Meles meles","168109.931","6824478.089","2018","7","3"
"Capreolus capreolus","158577.746","6834367.875","2018","9","4"
"Capreolus capreolus","163730.192281","6831118.68359","2018","9","4"
"Capreolus capreolus","169225.874434","6823351.39132","2018","9","4"
"Capreolus capreolus","201673.182222","6812036.65644","2018","9","4"
"Meles meles","188799.2976","6811745.0959","2018","7","3"
"Capreolus capreolus","196560.724152","6811160.13304","2018","9","4"
"Capreolus capreolus","187216.323201","6811928.11856","2018","9","4"
"Capreolus capreolus","166441.050584","6845445.34302","2018","9","4"
"Capreolus capreolus","183764.491136","6847398.91661","2018","9","4"
"Capreolus capreolus","169751.003982","6846150.2912","2018","9","4"
"Capreolus capreolus","204508.991924","6851728.35778","2018","9","4"
"Meles meles","203138.728149","6852368.86086","2018","7","3"
"Capreolus capreolus","206715.655847","6851540.56982","2018","9","4"
"Capreolus capreolus","182824.403633","6847387.53369","2018","9","4"
"Capreolus capreolus","188620.497389","6847978.10002","2018","9","4"
"Capreolus capreolus","191898.445773","6849477.76111","2018","9","4"
"Capreolus capreolus","215097.272237","6768373.5704","2018","9","4"
"Capreolus capreolus","200143.340152","6775205.11464","2018","9","4"
"Capreolus capreolus","204672.378","6773806.532","2018","9","4"
"Capreolus capreolus","213018.190094","6770377.91764","2018","9","4"
"Capreolus capreolus","204177.20654","6773873.92599","2018","9","4"
"Capreolus capreolus","198146.174002","6775350.05243","2018","9","4"
"Capreolus capreolus","208521.132103","6772193.64505","2018","9","4"
