"nom_vern","nom_sci","id_obs","date","annee","xcoord","ycoord","source"
"Sanglier","Sus scrofa","474e0b42e7655672c3cf4fab1e9c7baa52e59977","2016/07/09 00:00:00.000",2016,405560.492501737,6714169.72949001,"LPO anjoux"
"Blaireau européen","Meles meles","474e0b42e7655672c3cf4fab1e9c7baa52e59977","2016/07/09 00:00:00.000",2016,405560.492501737,6714169.72949001,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","838b07abd9a43fc5737d3e0809029df04a512d39","2020/02/12 00:00:00.000",2020,425029.78301457,6750450.15945952,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","3c0c7ede7bb848ac593d49e4cf1b3a4d71ea2e63","2018/03/01 00:00:00.000",2018,397083.131121006,6714728.82877172,"LPO anjoux"
"Blaireau européen","Meles meles","f878e26725bfa5ed943e38cf4efd46c97734a4f4","2020/02/21 00:00:00.000",2020,460505.844952372,6695985.12733595,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","f52d7e021588421d197a2e8a3356d894106acfd3","2021/05/16 00:00:00.000",2021,427188.025201921,6686324.84038776,"LPO anjoux"
"Blaireau européen","Meles meles","001111554d2ea1e1b0ddfef894bf52f3098651a5","2015/05/07 00:00:00.000",2015,428631.799285143,6706111.1031803,"LPO anjoux"
"Sanglier","Sus scrofa","f878e26725bfa5ed943e38cf4efd46c97734a4f4","2021/01/13 00:00:00.000",2021,468925.180547791,6673943.05457736,"LPO anjoux"
"Blaireau européen","Meles meles","8534d19d67d629d14275beafa3418a5bcfc0496c","2017/09/19 00:00:00.000",2017,426924.27213946,6696911.35221307,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","d37936d3701ebdc1282b28b0d6f5e792c1482db7","2015/11/11 00:00:00.000",2015,404914.642810582,6668821.52350275,"LPO anjoux"
"Sanglier","Sus scrofa","18c7177cf3b3e4fec949780c7d609a2199c02f5e","2014/10/19 00:00:00.000",2014,456124.401554144,6732218.18314099,"LPO anjoux"
"Blaireau européen","Meles meles","e1d50c48e55fab73cd4468e23d4a46a6770c4f18","2015/01/07 00:00:00.000",2015,443997.418515817,6701452.56249143,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","8d2fdbb0635a10c1380f2cbd29bac2bc05f82fc8","2019/12/02 00:00:00.000",2019,445141.928464572,6704152.32628826,"LPO anjoux"
"Sanglier","Sus scrofa","f878e26725bfa5ed943e38cf4efd46c97734a4f4","2021/01/12 00:00:00.000",2021,463968.728169749,6689216.57664521,"LPO anjoux"
"Sanglier","Sus scrofa","d5df87af398f041e5797e53dea6f19f3bba98c97","2015/10/16 00:00:00.000",2015,398874.310733629,6728399.65861073,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","d5df87af398f041e5797e53dea6f19f3bba98c97","2015/10/16 00:00:00.000",2015,395437.963304469,6730160.61726103,"LPO anjoux"
"Cerf élaphe","Cervus elaphus","f2969dcde29db2089bdfa63e433d88cedad25265","2018/09/09 00:00:00.000",2018,482280.039245077,6695758.41499376,"LPO anjoux"
"Sanglier","Sus scrofa","4b3d449ba4fd39459e3e30254d16f5ee3a245ced","2015/03/28 00:00:00.000",2015,326888.85540531,6670806.8925409,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","6efa4c9100491c4194c547fa72df4c18df367e23","2014/03/04 00:00:00.000",2014,406097.44524549,6682152.41870346,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","db9e17b4d3a9b11341a7a838b2c6bd407d98244c","2021/05/13 00:00:00.000",2021,444569.392046728,6704468.40657449,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","37f52cc45328caf8e77cc86380d6535a475570bd","2016/07/02 00:00:00.000",2016,397598.038677028,6723566.31989562,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","d2e669c9d9c0eb2e4e2e00d75f8e3da119b2772c","2020/10/10 00:00:00.000",2020,418867.370188122,6696846.22447542,"LPO anjoux"
"Sanglier","Sus scrofa","a5f8d3ce6f97c0cee8572c078b3ba3602dca3ec2","2014/04/20 00:00:00.000",2014,432304.569939258,6708400.50095585,"LPO anjoux"
"Blaireau européen","Meles meles","c06f2471b377c7cc308386923e06efb3ca6675ad","2020/02/07 00:00:00.000",2020,330255.913501756,6714562.48306117,"LPO anjoux"
"Chevreuil européen","Capreolus capreolus","b86b17f4263c23f64e38b76a386955e2098d4fd1","2021/02/06 00:00:00.000",2021,426197.265475027,6718795.0169834,"LPO anjoux"
"Sanglier","Sus scrofa","e7ccb8b2e1236c95f05a1fd019d0ad142ec11f9b","2016/05/12 00:00:00.000",2016,471037.848703671,6680837.08736605,"LPO anjoux"
"Sanglier","Sus scrofa","95709a80bb411ff1f0fd7be66c68c5b846c4a3b7","2019/04/10 00:00:00.000",2019,444451.474648293,6755289.39366383,"LPO anjoux"
